Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK
6,Yunis Abdelhamid,ma MAR,DF,Saint-Atienne,fr Ligue 1,36,1987,16,11,1033,11.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0,0.03,2,1,50,0.17,0.09,0,0,10.8,0
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,32,32,2842,31.6,6,1,7,3,3,4,4,0,6.4,3.2,3.2,6.4,107,207,111,0.13,0.3,35,8,22.9,1.11,0.25,0.09,0.38,22.6,0
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993,25,17,1393,15.5,5,2,7,5,0,0,2,0,4.3,4.3,1.9,6.2,35,42,101,0.45,0.4,29,11,37.9,1.87,0.71,0.17,0.45,16.9,1
11,Abel,es ESP,DF,Osasuna,es La Liga,23,2000,35,20,2074,23,2,0,2,2,0,0,3,0,0.5,0.5,1,1.6,50,77,92,0.09,0.07,12,4,33.3,0.52,0.17,0.17,0.5,22.9,0
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,34,33,2768,30.8,9,2,11,8,1,1,3,0,8.5,7.7,3.8,11.5,75,48,169,0.33,0.4,73,26,35.6,2.37,0.85,0.11,0.31,15,0
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24,2000,19,12,1090,12.1,1,1,2,1,0,0,1,0,0.6,0.6,1.1,1.7,31,66,55,0.17,0.14,7,3,42.9,0.58,0.25,0.14,0.33,17.7,0
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,26,22,1901,21.1,7,2,9,6,1,2,4,0,10.2,8.6,1.6,10.2,34,22,164,0.38,0.56,62,26,41.9,2.94,1.23,0.1,0.23,14.6,0
17,Abdel Abqar,ma MAR,DF,Alaves,es La Liga,25,1999,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.04,0.04,12,1,8.3,0.44,0.04,0,0,8,0
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,28,12,1183,13.1,3,4,7,2,1,2,1,0,7.1,5.4,2.2,7.6,8,26,69,0.46,0.7,26,11,42.3,1.98,0.84,0.08,0.18,13.4,0
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,23,20,1710,19,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1,19,62,22,0.05,0.05,5,1,20,0.26,0.05,0,0,11.5,0
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,2000,19,14,1209,13.4,3,1,4,3,0,0,2,0,4.7,4.7,1,5.7,11,11,50,0.33,"0,73",28,13,96.2,3.52,1.67,0.12,0.25,35.5,0
25,Che Adams,sct SCO,FW,Torino,it Serie A,28,1996,36,30,2652,29.5,9,3,12,9,0,1,2,0,9,8.2,2,10.2,23,40,153,0.41,0.37,63,25,39.7,2.14,0.85,0.14,0.36,15.7,0
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,1999,28,21,1965,21.8,0,3,3,0,0,0,7,0,1.6,1.6,1,2.6,14,76,10,0.14,0.12,9,2,22.2,0.41,0.09,0,0,16.9,0
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,2001,25,19,1545,17.2,2,2,4,2,0,0,5,1,5.5,5.5,2.4,7.9,8,14,84,0.23,0.46,36,11,30.6,2.1,0.64,0.06,0.18,12.4,0
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26,1997,22,15,1409,15.7,1,1,2,1,0,0,4,0,0.9,0.9,0.2,1.2,5,42,1,0.13,0.07,13,2,15.4,0.83,0.13,0.08,0.5,12.5,0
